area_type,availability,location,total_sqft,bath,balcony,price,bhk
Super built-up  Area,Ready To Move,Hormavu,1250,2.0,2.0,65.0,2.0
Super built-up  Area,Ready To Move,Kothanur,1400,2.0,1.0,70.0,2.0
Super built-up  Area,Ready To Move,Ittamadu,1600,3.0,2.0,100.0,3.0
Built-up  Area,Ready To Move,Electronic City,1060,2.0,1.0,55.0,2.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,1272,2.0,2.0,50.0,2.0
Super built-up  Area,19-Jul,Kanakpura Road,1296,2.0,2.0,105.0,2.0
Super built-up  Area,Ready To Move,Karuna Nagar,1945,3.0,3.0,115.0,3.0
Super built-up  Area,19-Nov,Chandapura,1033,2.0,2.0,30.47,3.0
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,2300,2.0,2.0,69.0,3.0
Super built-up  Area,18-Aug,Gunjur Palya,1235,2.0,2.0,52.76,2.0
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,850,2.0,1.0,42.5,2.0
Super built-up  Area,Ready To Move,Subramanyapura,1880,3.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Kenchenahalli,1060,2.0,2.0,52.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,2041,3.0,3.0,138.0,3.0
Built-up  Area,Ready To Move,Hulimavu,1050,2.0,2.0,125.0,2.0
Super built-up  Area,Ready To Move,Vasanthapura,1037,2.0,1.0,36.28,2.0
Built-up  Area,21-Dec,"Electronic city phase 1, ",1150,2.0,1.0,39.0,2.0
Super built-up  Area,Ready To Move,LB Shastri Nagar,1184,2.0,1.0,62.0,2.0
Built-up  Area,Ready To Move,Sarjapur  Road,1680,3.0,2.0,126.0,3.0
Super built-up  Area,18-Apr,Thanisandra,1411,3.0,2.0,100.0,3.0
Plot  Area,Ready To Move,Hosa Road,900,5.0,0.0,55.0,5.0
Super built-up  Area,21-Dec,Kanakpura Road,900,2.0,2.0,41.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1702,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,1185,2.0,2.0,45.0,2.0
Super built-up  Area,21-Jan,Kanakpura Road,1300,3.0,1.0,64.0,3.0
Super built-up  Area,Ready To Move,Lavakusha Nagar,1545,3.0,2.0,65.0,3.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1515,2.0,2.0,135.0,3.0
Super built-up  Area,Ready To Move,Jigani,1300,3.0,3.0,55.0,3.0
Super built-up  Area,Ready To Move,JP Nagar,1107,2.0,1.0,57.0,2.0
Super built-up  Area,Ready To Move,Old Madras Road,1720,3.0,2.0,106.0,3.0
Super built-up  Area,Ready To Move,Kuvempu Nagar,1540,3.0,2.0,150.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1000,2.0,1.0,44.5,2.0
Super built-up  Area,21-Dec,Electronic City,710,1.0,1.0,40.42,1.0
Super built-up  Area,Ready To Move,Thanisandra,1100,2.0,1.0,38.0,2.0
Plot  Area,Ready To Move,Domlur Layout,900,2.0,2.0,160.0,2.0
Built-up  Area,Ready To Move,Bannerghatta Road,1250,2.0,0.0,48.0,2.0
Built-up  Area,Ready To Move,Kaggadasapura,2400,4.0,3.0,130.0,5.0
Super built-up  Area,Ready To Move,Hegde Nagar,1584.01,3.0,1.0,104.0,3.0
Plot  Area,Ready To Move,Vasanth nagar,875,4.0,0.0,150.0,4.0
Super built-up  Area,Ready To Move,Kaggadasapura,1485,2.0,2.0,70.0,3.0
Built-up  Area,Ready To Move,Hennur Road,1100,2.0,1.0,78.0,3.0
Super built-up  Area,18-Mar,8th Phase JP Nagar,1245,2.0,1.0,59.0,2.0
Built-up  Area,19-Dec,Hennur Road,1880,4.0,0.0,154.0,4.0
Built-up  Area,18-Jun,Anathanagar,1050,2.0,2.0,45.0,2.0
Plot  Area,Ready To Move,Vishveshwarya Layout,600,4.0,2.0,95.0,4.0
Super built-up  Area,19-Jul,Bannerghatta Road,1640,3.0,2.0,105.0,3.0
Super built-up  Area,Ready To Move,Basavanapura,1165,2.0,1.0,65.0,2.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,1110,2.0,1.0,43.0,2.0
Super built-up  Area,Ready To Move,vinayakanagar,1200,5.0,2.0,200.0,7.0
Built-up  Area,Ready To Move,Uttarahalli,4500,4.0,0.0,150.0,4.0
Plot  Area,Ready To Move,Jaraganahalli Jp Nagar Post,600,4.0,3.0,65.0,4.0
Super built-up  Area,Ready To Move,Haralur Road,1300,2.0,2.0,75.0,2.0
Plot  Area,Ready To Move,adigondanhalli,1200,1.0,0.0,42.0,2.0
Plot  Area,Immediate Possession,Yelahanka,1200 - 1800,2.0,2.0,12.75,3.0
Super built-up  Area,18-Aug,Hennur Road,1232,2.0,1.0,69.61,2.0
Super built-up  Area,Ready To Move,Jalahalli,1704,3.0,2.0,94.36,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1275,2.0,2.0,88.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1222,2.0,1.0,68.0,3.0
Super built-up  Area,Ready To Move,Varthur,1155,2.0,2.0,39.0,2.0
Super built-up  Area,18-Apr,Electronic City,1000,2.0,1.0,29.95,2.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,1200,2.0,1.0,45.0,2.0
Super built-up  Area,19-Dec,Yelahanka,1517,3.0,2.0,71.28,3.0
Super built-up  Area,18-May,Horamavu Agara,1166,2.0,1.0,37.29,2.0
Built-up  Area,Ready To Move,Electronic City,870,2.0,2.0,24.0,2.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,4000,5.0,2.0,170.0,5.0
Super built-up  Area,Ready To Move,Whitefield,1345,3.0,1.0,58.0,3.0
Plot  Area,Ready To Move,Dommasandra,900,3.0,1.0,75.0,3.0
Super built-up  Area,Ready To Move,EPIP Zone,3800,5.0,2.0,170.0,4.0
Super built-up  Area,Ready To Move,Chandapura,971,2.0,2.0,38.0,3.0
Super built-up  Area,Ready To Move,Hennur,1255,2.0,1.0,52.32,2.0
Built-up  Area,Ready To Move,EPIP Zone,1810,2.0,2.0,65.0,2.0
Built-up  Area,Ready To Move,"Whitefield, ",1300,2.0,1.0,58.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1185,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,1350,2.0,3.0,68.0,2.0
Super built-up  Area,20-Jun,Budigere,1510 - 1670,3.0,0.0,76.16,3.0
Plot  Area,Ready To Move,Brookefield,1560,3.0,2.0,149.0,4.0
Super built-up  Area,Ready To Move,Somasundara Palya,1650,3.0,2.0,126.0,3.0
Super built-up  Area,Ready To Move,Off Bannergatta Road,1645,3.0,2.0,87.0,3.0
Super built-up  Area,Ready To Move,Hennur Road,1748,3.0,2.0,103.0,3.0
Plot  Area,18-Nov,Channasandra,1200,3.0,1.0,67.77,3.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,1170,2.0,3.0,50.0,2.0
Built-up  Area,Ready To Move,Hulimavu,1320,2.0,2.0,65.0,3.0
Super built-up  Area,18-Jul,Bhoganhalli,1610,3.0,2.0,84.53,3.0
Super built-up  Area,Ready To Move,Frazer Town,1870,3.0,3.0,180.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1510,2.0,1.0,110.0,3.0
Super built-up  Area,Ready To Move,Kanakapura  Rod,1305,2.0,1.0,45.68,3.0
Super built-up  Area,Ready To Move,Mahadevpura,1500,2.0,1.0,70.0,3.0
Super built-up  Area,Ready To Move,Indira Nagar,1149,2.0,1.0,130.0,2.0
Built-up  Area,Ready To Move,Thanisandra,1948,4.0,2.0,129.0,4.0
Plot  Area,Ready To Move,Margondanahalli,1448,3.0,1.0,70.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1242,2.0,1.0,78.0,2.0
Super built-up  Area,Ready To Move,Sonnenahalli,1268,2.0,1.0,58.0,2.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1101,2.0,1.0,50.0,2.0
Super built-up  Area,Ready To Move,Kallumantapa,1255,2.0,3.0,65.0,2.0
Super built-up  Area,Ready To Move,Gunjur,1362,3.0,1.0,62.63,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,984,3.0,2.0,140.0,3.0
Super built-up  Area,18-May,Hosa Road,1089,2.0,1.0,32.67,2.0
Built-up  Area,Ready To Move,Byrathi Village,800,1.0,3.0,95.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,1345,2.0,1.0,57.0,3.0
Plot  Area,Ready To Move,Krishna Nagar,1650,2.0,1.0,140.0,4.0
Super built-up  Area,Ready To Move,Kaggalipura,950,2.0,1.0,45.0,2.0
Super built-up  Area,Ready To Move,HBR Layout,1068,2.0,1.0,43.0,2.0
Built-up  Area,Ready To Move,Yelahanka New Town,860,1.0,2.0,31.0,2.0
Built-up  Area,Ready To Move,Kengeri,3000,5.0,2.0,130.0,8.0
Super built-up  Area,Ready To Move,Yelahanka,1756,3.0,2.0,66.73,3.0
Super built-up  Area,Ready To Move,Whitefield,1205,2.0,1.0,41.0,2.0
Super built-up  Area,Ready To Move,Banashankari,1800,3.0,2.0,125.0,3.0
Built-up  Area,Ready To Move,Hormavu,1604,3.0,0.0,68.0,3.0
Super built-up  Area,18-May,Old Airport Road,2732,4.0,3.0,204.0,4.0
Super built-up  Area,18-Dec,Chandapura,1015,2.0,2.0,25.88,2.0
Super built-up  Area,Ready To Move,Banashankari,1200,2.0,2.0,42.0,3.0
Super built-up  Area,Ready To Move,Ananth Nagar,1010,2.0,2.0,38.0,2.0
Built-up  Area,Ready To Move,Nagarbhavi,1250,3.0,0.0,170.0,2.0
Super built-up  Area,Ready To Move,Doddakallasandra,1010,2.0,1.0,41.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,1050,2.0,2.0,33.1,2.0
Super built-up  Area,Ready To Move,Harlur,1710,3.0,2.0,85.0,3.0
Super built-up  Area,19-Jan,Mysore Road,1248.52,3.0,2.0,115.0,3.0
Built-up  Area,Ready To Move,Attibele,410,1.0,1.0,10.0,1.0
Super built-up  Area,18-Oct,Bannerghatta Road,1656,2.0,1.0,62.93,3.0
Super built-up  Area,Ready To Move,Naganathapura,1451,3.0,1.0,68.0,3.0
Super built-up  Area,Ready To Move,Giri Nagar,1200,3.0,0.0,175.0,6.0
Super built-up  Area,Ready To Move,JP Nagar,1250,2.0,2.0,93.0,2.0
Built-up  Area,Ready To Move,Sonnenahalli,1340,2.0,3.0,42.0,3.0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,1100,2.0,2.0,38.5,2.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,1700,3.0,1.0,71.0,3.0
Plot  Area,Ready To Move,Yelahanka,1200,5.0,0.0,150.0,6.0
Super built-up  Area,Ready To Move,KR Puram,1096,2.0,1.0,43.0,2.0
Super built-up  Area,18-May,Electronic City Phase II,1160,2.0,1.0,33.5,2.0
Built-up  Area,Ready To Move,"Sarjapur Road, ",1936,3.0,2.0,139.0,3.0
Super built-up  Area,Ready To Move,Nehru Nagar,1269,2.0,2.0,63.0,3.0
Super built-up  Area,18-May,Panathur,1586,3.0,1.0,125.0,3.0
Super built-up  Area,18-Jul,Rajaji Nagar,1376,2.0,1.0,124.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,1452,3.0,3.0,56.5,3.0
Super built-up  Area,18-Aug,Hosa Road,1538,3.0,1.0,107.0,3.0
Super built-up  Area,18-May,Hosur Road,1427,2.0,1.0,130.0,3.0
Built-up  Area,Ready To Move,Upadhyaya Layout,935,2.0,0.0,40.0,2.0
Built-up  Area,Ready To Move,Ashwath Nagar,1220,2.0,3.0,65.0,2.0
Super built-up  Area,Ready To Move,Harlur,1197,2.0,1.0,77.0,2.0
Super built-up  Area,18-Dec,Varthur,674,1.0,1.0,19.9,2.0
Built-up  Area,Ready To Move,Kengeri,410,1.0,1.0,15.0,1.0
Built-up  Area,18-Apr,Thanisandra,1573,3.0,1.0,90.0,3.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,1135,2.0,2.0,58.0,2.0
Built-up  Area,18-Dec,Huskur,1400,2.0,1.0,40.43,3.0
Super built-up  Area,Ready To Move,Agrahara Dasarahalli,1200,1.0,0.0,65.0,1.0
Plot  Area,Ready To Move,Ittamadu,1800,3.0,0.0,95.0,3.0
Built-up  Area,Ready To Move,Avalahalli,2045,3.0,2.0,108.0,3.0
Super built-up  Area,Ready To Move,Sonnenahalli,1268,2.0,1.0,56.0,2.0
Super built-up  Area,Ready To Move,Kambipura,883,2.0,1.0,39.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,1600,3.0,3.0,100.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,1056,2.0,2.0,70.0,2.0
Super built-up  Area,Ready To Move,KR Puram,1204,2.0,2.0,58.0,2.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,1410,2.0,1.0,54.0,3.0
Built-up  Area,Ready To Move,Hennur Road,1460,2.0,1.0,80.3,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,1100,2.0,1.0,41.18,2.0
Super built-up  Area,Ready To Move,Govindapura,1310,2.0,1.0,88.0,2.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1600,3.0,2.0,90.0,3.0
Super built-up  Area,Ready To Move,Lottegolla Halli,1250,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1665,3.0,2.0,74.93,3.0
Super built-up  Area,Ready To Move,Uttarahalli,1345,2.0,1.0,57.0,3.0
Super built-up  Area,Ready To Move,Singasandra,1416,2.0,2.0,67.0,2.0
Super built-up  Area,Ready To Move,HSR Layout,1145,2.0,2.0,46.0,2.0
Built-up  Area,Ready To Move,Jigani,1231,3.0,2.0,58.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,1664,3.0,0.0,73.95,3.0
Built-up  Area,Ready To Move,TC Palaya,2000,3.0,1.0,76.0,3.0
Built-up  Area,Ready To Move,Rajiv Nagar,972,2.0,2.0,43.0,2.0
Super built-up  Area,Ready To Move,Bellandur,1185,2.0,1.0,47.39,2.0
Built-up  Area,Ready To Move,Green Glen Layout,1750,3.0,2.0,81.0,3.0
Super built-up  Area,18-Dec,Balagere,1007,2.0,1.0,68.0,2.0
Super built-up  Area,Ready To Move,Rajaji Nagar,1700,3.0,2.0,200.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1250,2.0,2.0,85.0,2.0
Super built-up  Area,Ready To Move,Telecom Layout,1200,2.0,1.0,54.0,2.0
Super built-up  Area,18-Aug,Horamavu Agara,994,2.0,1.0,42.28,2.0
Super built-up  Area,18-Apr,Ramamurthy Nagar,1150,2.0,2.0,40.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1220,2.0,2.0,46.0,2.0
Super built-up  Area,Ready To Move,Hennur Gardens,1441,2.0,1.0,115.0,2.0
Super built-up  Area,19-Mar,Old Madras Road,1157,2.0,2.0,47.32,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,1400,2.0,2.0,105.0,2.0
Built-up  Area,Ready To Move,Tindlu,1370.07,3.0,1.0,65.0,3.0
Plot  Area,Ready To Move,Magadi Road,1200,4.0,1.0,130.0,5.0
Super built-up  Area,20-Dec,Judicial Layout,900,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,Kodipalya,418,1.0,1.0,17.0,1.0
Plot  Area,Ready To Move,Vishwapriya Nagar,1200,3.0,1.0,80.0,3.0
Built-up  Area,Ready To Move,ISRO Layout,1200,2.0,3.0,43.0,2.0
Super built-up  Area,Ready To Move,Talaghattapura,1062,2.0,1.0,42.48,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,1120,2.0,1.0,51.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1012,2.0,1.0,44.0,2.0
Plot  Area,Ready To Move,Postal Colony,1500,2.0,1.0,200.0,3.0
Built-up  Area,Ready To Move,ISRO Layout,950,4.0,2.0,180.0,4.0
Super built-up  Area,Ready To Move,Kadabagere,675,2.0,2.0,13.5,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,1430,2.0,2.0,78.0,2.0
Super built-up  Area,Ready To Move,Channasandra,1195,2.0,1.0,56.0,3.0
Super built-up  Area,Ready To Move,Old Madras Road,2640,5.0,1.0,150.0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,1075,2.0,1.0,42.0,3.0
Super built-up  Area,18-Sep,Hennur Road,1550 - 1590,3.0,0.0,75.99,3.0
Plot  Area,Ready To Move,Kammanahalli,782,4.0,2.0,85.0,6.0
Built-up  Area,18-Feb,Sonnenahalli,1011,2.0,1.0,59.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1450,2.0,1.0,102.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1129,2.0,1.0,69.0,2.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1126,2.0,1.0,36.0,2.0
Plot  Area,18-Dec,Attibele,1200,3.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1180,2.0,2.0,45.0,3.0
Plot  Area,Ready To Move,1st Block HRBR Layout,600,4.0,2.0,125.0,3.0
Plot  Area,18-Apr,Bannerghatta,940,4.0,2.0,45.0,4.0
Super built-up  Area,Ready To Move,Hennur Road,1933,3.0,2.0,140.0,3.0
Built-up  Area,Ready To Move,TC Palaya,1082,2.0,2.0,64.0,2.0
Super built-up  Area,19-Dec,Anwar Layout,610,1.0,0.0,28.0,1.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,1560,4.0,1.0,160.0,4.0
Super built-up  Area,Ready To Move,Kathriguppe,1300,3.0,3.0,77.99,3.0
Built-up  Area,Ready To Move,CV Raman Nagar,1125,2.0,1.0,46.0,2.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,777.4,2.0,0.0,25.0,2.0
Super built-up  Area,Ready To Move,Battarahalli,2500,3.0,1.0,65.0,4.0
Super built-up  Area,Ready To Move,Old Airport Road,1798,3.0,2.0,150.0,3.0
Built-up  Area,Ready To Move,Dodda Nekkundi Extension,1864,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1115,2.0,1.0,51.91,2.0
Super built-up  Area,Ready To Move,Kengeri,400,1.0,1.0,25.0,1.0
Super built-up  Area,Ready To Move,Rajaji Nagar,1200,2.0,1.0,70.0,2.0
Super built-up  Area,18-May,Ananth Nagar,992,2.0,2.0,24.8,2.0
Built-up  Area,Ready To Move,Jakkasandra Extension,950,2.0,3.0,57.0,2.0
Plot  Area,Ready To Move,R.T. Nagar,1500,4.0,3.0,185.0,4.0
Super built-up  Area,Ready To Move,Bellandur,1200,2.0,1.0,62.0,2.0
Built-up  Area,Ready To Move,GM Palaya,1735,3.0,2.0,70.0,3.0
Built-up  Area,Ready To Move,BTM 2nd Stage,1750,3.0,3.0,172.0,3.0
Super built-up  Area,Ready To Move,HSR Layout,1009,2.0,2.0,56.0,2.0
Super built-up  Area,Ready To Move,Jalahalli,1470,2.0,3.0,102.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1527,3.0,2.0,115.0,3.0
Built-up  Area,Ready To Move,Singapura Village,985,2.0,1.0,45.0,2.0
Built-up  Area,Ready To Move,Chandapura,3300,4.0,2.0,135.0,4.0
Super built-up  Area,18-Jun,Whitefield,1277,2.0,1.0,77.0,2.0
Super built-up  Area,18-May,Nallurhalli,1100,2.0,1.0,62.0,2.0
Super built-up  Area,Ready To Move,Whitefield,1820,3.0,2.0,140.0,3.0
Super built-up  Area,Ready To Move,Puttanahalli,1530,3.0,3.0,87.0,4.0
Super built-up  Area,Ready To Move,Banashankari,1886,3.0,2.0,205.0,3.0
Plot  Area,Ready To Move,Chandra Layout,1200,2.0,0.0,190.0,3.0
Super built-up  Area,Ready To Move,Jakkur,1880,4.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Hennur,1255,2.0,2.0,52.35,2.0
Super built-up  Area,21-Dec,Kanakpura Road,700,2.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Somasundara Palya,1140,2.0,2.0,46.0,2.0
Built-up  Area,18-Aug,Electronic City Phase II,1025,2.0,1.0,29.6,2.0
Super built-up  Area,Ready To Move,Uttarahalli,1490,2.0,2.0,59.6,3.0
Plot  Area,Ready To Move,Akshaya Vana,1200,4.0,2.0,165.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1850,3.0,2.0,140.0,3.0
Super built-up  Area,Ready To Move,Kaikondrahalli,1250,2.0,1.0,78.0,2.0
Super built-up  Area,Ready To Move,Kamakya Layout,2400,3.0,1.0,108.0,4.0
Super built-up  Area,18-Dec,Jalahalli,1244,2.0,2.0,88.0,2.0
Plot  Area,Ready To Move,Kumaraswami Layout,623,4.0,1.0,75.0,4.0
Super built-up  Area,18-Dec,Kengeri Satellite Town,1025,2.0,1.0,28.57,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1034,2.0,1.0,38.0,2.0
Super built-up  Area,18-Jan,Kengeri Satellite Town,1191,2.0,2.0,33.34,3.0
Super built-up  Area,Ready To Move,Kasavanhalli,1719,3.0,2.0,71.0,3.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1035,2.0,1.0,39.33,2.0
Super built-up  Area,18-Dec,Hosa Road,1470,2.0,2.0,84.22,3.0
Super built-up  Area,Ready To Move,Yelahanka,1140,2.0,1.0,50.66,2.0
Super built-up  Area,Ready To Move,Harlur,1752.12,3.0,2.0,125.0,3.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,600,3.0,1.0,84.0,4.0
Super built-up  Area,Ready To Move,Old Madras Road,2990,3.0,2.0,170.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1660,3.0,2.0,85.0,3.0
Super built-up  Area,Ready To Move,Electronic City,1275,3.0,3.0,63.43,3.0
Super built-up  Area,18-Jun,Bommasandra Industrial Area,1365,3.0,1.0,52.81,3.0
Plot  Area,Ready To Move,"MEI layout, Bagalgunte",1200,2.0,0.0,90.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,2546,3.0,2.0,170.0,3.0
Super built-up  Area,20-Oct,Banashankari Stage VI,1392,3.0,1.0,69.46,3.0
Super built-up  Area,18-Mar,Whitefield,1245,2.0,1.0,59.76,2.0
Built-up  Area,Ready To Move,Rayasandra,1200,3.0,1.0,65.0,5.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1162,2.0,2.0,64.08,2.0
Super built-up  Area,Ready To Move,Singasandra,1476,2.0,1.0,73.0,3.0
Built-up  Area,Ready To Move,KR Puram,700,1.0,1.0,21.5,1.0
Built-up  Area,Ready To Move,Jigani,943,2.0,2.0,48.0,2.0
Plot  Area,Ready To Move,Pai Layout,1150,2.0,1.0,170.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1113,2.0,1.0,44.5,2.0
Super built-up  Area,20-Dec,Varthur,1615,3.0,2.0,69.43,3.0
Super built-up  Area,Ready To Move,Keshava Nagar,1279,2.0,3.0,100.0,2.0
Super built-up  Area,Ready To Move,Kacharakanahalli,1256,2.0,1.0,60.0,2.0
Built-up  Area,Ready To Move,Sompura,1350,3.0,1.0,65.0,3.0
Super built-up  Area,18-May,SRINIVASAPURA,1525,3.0,2.0,68.63,3.0
Super built-up  Area,18-Aug,Rajaji Nagar,1357,2.0,1.0,123.0,2.0
Super built-up  Area,19-Mar,Hebbal,1645,3.0,2.0,117.0,3.0
Super built-up  Area,Ready To Move,Ardendale,1777.26,3.0,2.0,92.0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,845,2.0,2.0,32.0,2.0
Built-up  Area,Ready To Move,Sidedahalli,900,2.0,0.0,25.0,2.0
Super built-up  Area,18-Sep,Varthur,1210,2.0,1.0,64.15,2.0
Super built-up  Area,19-Aug,Electronic City Phase II,829,2.0,1.0,22.8,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1879,3.0,2.0,155.0,3.0
Super built-up  Area,17-Jun,Hosur Road,1250,2.0,2.0,50.0,3.0
Built-up  Area,Ready To Move,Jeevanhalli,1200,2.0,2.0,35.0,4.0
Super built-up  Area,19-Mar,Marathahalli,1108,2.0,1.0,60.0,3.0
Super built-up  Area,18-Aug,Kanakpura Road,1401,3.0,2.0,69.0,3.0
Super built-up  Area,19-Oct,Sarjapur  Road,1157,2.0,1.0,75.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar Extension,1185,2.0,1.0,42.66,2.0
Super built-up  Area,Ready To Move,Green Glen Layout,1751,3.0,2.0,115.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1880,3.0,2.0,96.5,3.0
Super built-up  Area,20-Dec,Whitefield,1235 - 1410,3.0,0.0,40.985,3.0
Super built-up  Area,Ready To Move,Channasandra,1175,2.0,2.0,38.0,2.0
Built-up  Area,Ready To Move,Jalahalli,1407,2.0,1.0,98.49,2.0
Super built-up  Area,Ready To Move,Yelachenahalli,1000,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Electronic City,1518,3.0,3.0,75.0,3.0
Super built-up  Area,18-May,Tumkur Road,1027,2.0,1.0,67.0,2.0
Built-up  Area,Ready To Move,HSR Layout,1145,2.0,2.0,46.0,2.0
Super built-up  Area,18-Aug,Rajaji Nagar,1260,2.0,2.0,113.0,2.0
Super built-up  Area,Ready To Move,Begur Road,1500,2.0,3.0,47.25,3.0
Super built-up  Area,Ready To Move,Varthur,1737,2.0,1.0,57.32,3.0
Super built-up  Area,18-Dec,Hennur,3484 - 3550,2.0,2.0,161.5,4.0
Plot  Area,Ready To Move,Byrathi Village,1600,4.0,1.0,120.0,3.0
Built-up  Area,Ready To Move,Hegde Nagar,1500,3.0,2.0,135.0,3.0
Plot  Area,Ready To Move,Sabari Nagar,1120,2.0,0.0,60.0,2.0
Super built-up  Area,18-Dec,Hennur Road,1030,2.0,1.0,46.5,2.0
Super built-up  Area,Ready To Move,Kammasandra,1057,2.0,1.0,35.0,2.0
Super built-up  Area,18-Dec,Old Airport Road,2774,4.0,3.0,208.0,4.0
Super built-up  Area,Ready To Move,Thanisandra,1460,2.0,2.0,38.5,2.0
Super built-up  Area,Ready To Move,Hormavu,1075,2.0,1.0,53.7,2.0
Super built-up  Area,Ready To Move,Mysore Road,1080,2.0,1.0,60.0,3.0
Super built-up  Area,Ready To Move,Singasandra,1139.7,2.0,1.0,45.0,2.0
Super built-up  Area,18-Jun,Whitefield,1074,2.0,1.0,42.8,2.0
Plot  Area,18-Jul,Whitefield,1200,2.0,1.0,46.13,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2425,5.0,1.0,175.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1323,2.0,2.0,74.0,2.0
Super built-up  Area,18-Aug,Hennur Road,1232,2.0,1.0,69.61,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,900,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,740,1.0,1.0,23.65,1.0
Super built-up  Area,18-Dec,Hebbal,1920,3.0,2.0,134.0,3.0
Plot  Area,Ready To Move,Arishinakunte,38Guntha,1.0,0.0,170.0,1.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1550,3.0,2.0,96.0,3.0
Super built-up  Area,Ready To Move,Gunjur,1588,2.0,3.0,90.0,3.0
Built-up  Area,Ready To Move,"Thanisandra Main Road, ",1308,2.0,1.0,86.0,2.0
Super built-up  Area,Ready To Move,Hennur,1340,2.0,2.0,54.27,3.0
Super built-up  Area,Ready To Move,Thanisandra,1719,3.0,2.0,135.0,3.0
Super built-up  Area,Ready To Move,Horamavu Agara,1107.83,2.0,1.0,41.51,2.0
Plot  Area,18-Jul,Whitefield,1200,2.0,1.0,45.84,2.0
